Tempo_ms,Setpoint,LDR,Erro,PWM
0,600.00,0.00,600.00,27
50,600.00,151.00,449.00,17
100,600.00,125.00,475.00,28
150,600.00,207.00,393.00,31
200,600.00,212.00,388.00,38
250,600.00,268.00,332.00,41
300,600.00,302.00,298.00,46
350,600.00,337.00,263.00,49
400,600.00,315.00,285.00,55
450,600.00,364.00,236.00,57
500,600.00,348.00,252.00,62
550,600.00,378.00,222.00,64
600,600.00,418.00,182.00,66
650,600.00,420.00,180.00,70
700,600.00,387.00,213.00,74
750,600.00,428.00,172.00,75
800,600.00,431.00,169.00,78
850,600.00,425.00,175.00,81
901,600.00,470.00,130.00,81
951,600.00,420.00,180.00,86
1013,600.00,429.00,171.00,88
1063,600.00,466.00,134.00,89
1113,600.00,453.00,147.00,92
1163,600.00,452.00,148.00,94
1213,600.00,492.00,108.00,94
1263,600.00,461.00,139.00,98
1313,600.00,482.00,118.00,99
1363,600.00,500.00,100.00,100
1413,600.00,514.00,86.00,101
1463,600.00,465.00,135.00,105
1514,600.00,496.00,104.00,105
1564,600.00,498.00,102.00,107
1614,600.00,513.00,87.00,108
1664,600.00,487.00,113.00,110
1714,600.00,482.00,118.00,112
1764,600.00,523.00,77.00,112
1814,600.00,507.00,93.00,114
1864,600.00,507.00,93.00,115
1914,600.00,534.00,66.00,116
1964,600.00,494.00,106.00,119
2015,600.00,527.00,73.00,118
2065,600.00,516.00,84.00,121
2115,600.00,520.00,80.00,121
2165,600.00,541.00,59.00,122
2215,600.00,505.00,95.00,125
2265,600.00,549.00,51.00,123
2315,600.00,535.00,65.00,126
2365,600.00,537.00,63.00,126
2415,600.00,522.00,78.00,128
2465,600.00,556.00,44.00,127
2515,600.00,514.00,86.00,130
2565,600.00,531.00,69.00,130
2615,600.00,538.00,62.00,131
2665,600.00,551.00,49.00,132
2715,600.00,523.00,77.00,134
2765,600.00,567.00,33.00,133
2815,600.00,534.00,66.00,135
2865,600.00,546.00,54.00,135
2915,600.00,538.00,62.00,137
2965,600.00,564.00,36.00,136
3015,600.00,523.00,77.00,139
3065,600.00,566.00,34.00,138
3115,600.00,549.00,51.00,140
3165,600.00,559.00,41.00,140
3215,600.00,537.00,63.00,141
3265,600.00,573.00,27.00,140
3315,600.00,539.00,61.00,143
3365,600.00,562.00,38.00,142
3415,600.00,560.00,40.00,143
3465,600.00,567.00,33.00,144
3515,600.00,536.00,64.00,146
3565,600.00,581.00,19.00,144
3615,600.00,552.00,48.00,146
3665,600.00,558.00,42.00,146
3715,600.00,570.00,30.00,146
3765,600.00,576.00,24.00,147
3815,600.00,544.00,56.00,149
3865,600.00,575.00,25.00,148
3915,600.00,564.00,36.00,149
3965,600.00,554.00,46.00,150
4016,600.00,579.00,21.00,149
4066,600.00,545.00,55.00,152
4116,600.00,581.00,19.00,150
4166,600.00,565.00,35.00,152
4216,600.00,559.00,41.00,152
4266,600.00,579.00,21.00,152
4316,600.00,584.00,16.00,152
4366,600.00,557.00,43.00,154
4416,600.00,575.00,25.00,153
4466,600.00,573.00,27.00,154
4516,600.00,555.00,45.00,155
4566,600.00,586.00,14.00,154
4616,600.00,589.00,11.00,155
4666,600.00,567.00,33.00,156
4716,600.00,569.00,31.00,156
4766,600.00,581.00,19.00,156
4816,600.00,550.00,50.00,158
4866,600.00,592.00,8.00,156
4916,600.00,582.00,18.00,158
4966,600.00,576.00,24.00,158
5016,600.00,563.00,37.00,159
5066,600.00,587.00,13.00,158
5116,600.00,559.00,41.00,160
5166,600.00,589.00,11.00,159
5216,600.00,577.00,23.00,160
5266,600.00,582.00,18.00,160
5316,600.00,558.00,42.00,161
5366,600.00,593.00,7.00,160
5416,600.00,569.00,31.00,162
5467,600.00,582.00,18.00,161
5517,600.00,582.00,18.00,162
5567,600.00,562.00,38.00,163
5617,600.00,593.00,7.00,162
5667,600.00,570.00,30.00,163
5717,600.00,586.00,14.00,163
5767,600.00,575.00,25.00,164
5817,600.00,589.00,11.00,163
5867,600.00,560.00,40.00,165
5917,600.00,598.00,2.00,163
5967,600.00,576.00,24.00,165
6017,600.00,579.00,21.00,165
6067,600.00,570.00,30.00,166
6117,600.00,594.00,6.00,165
6167,600.00,570.00,30.00,166
6217,600.00,593.00,7.00,165
6267,600.00,583.00,17.00,166
6317,600.00,573.00,27.00,167
6367,600.00,565.00,35.00,167
6417,600.00,598.00,2.00,166
6467,600.00,577.00,23.00,168
6517,600.00,587.00,13.00,167
6567,600.00,589.00,11.00,168
6617,600.00,567.00,33.00,169
6667,600.00,571.00,29.00,169
6717,600.00,602.00,-2.00,168
6767,600.00,584.00,16.00,169
6817,600.00,580.00,20.00,169
6867,600.00,594.00,6.00,169
6917,600.00,598.00,2.00,169
6967,600.00,577.00,23.00,170
7017,600.00,594.00,6.00,169
7067,600.00,589.00,11.00,170
7117,600.00,573.00,27.00,171
7167,600.00,599.00,1.00,170
7217,600.00,601.00,-1.00,170
7267,600.00,583.00,17.00,171
7317,600.00,586.00,14.00,171
7367,600.00,594.00,6.00,171
7417,600.00,567.00,33.00,172
7467,600.00,602.00,-2.00,170
7517,600.00,600.00,0.00,171
7567,600.00,588.00,12.00,172
7617,600.00,579.00,21.00,172
7667,600.00,598.00,2.00,171
7717,600.00,574.00,26.00,173
7767,600.00,605.00,-5.00,171
7817,600.00,591.00,9.00,173
7867,600.00,594.00,6.00,172
7917,600.00,572.00,28.00,173
7967,600.00,601.00,-1.00,172
8017,600.00,581.00,19.00,174
8067,600.00,596.00,4.00,173
8117,600.00,585.00,15.00,174
8167,600.00,598.00,2.00,173
8217,600.00,573.00,27.00,174
8267,600.00,604.00,-4.00,173
8317,600.00,587.00,13.00,174
8368,600.00,588.00,12.00,174
8418,600.00,597.00,3.00,174
8468,600.00,572.00,28.00,175
8518,600.00,605.00,-5.00,174
8568,600.00,587.00,13.00,175
8618,600.00,592.00,8.00,175
8668,600.00,581.00,19.00,175
8718,600.00,601.00,-1.00,175
8768,600.00,580.00,20.00,176
8818,600.00,608.00,-8.00,175
